ID,TEXT,MATCHING_RULES
161,"RT @0xSummy: Definitely APE for this 🔥

Blvck Genesis is the official Blvck Paris NFT collection made up of Next-Gen Avatars living on the…",ethereum OR eth
162,RT @Eisaking10: @CoinMarketCap Scammers..... You can hear the sound of our wolves breathing behind you. There is little time left before yo…,ethereum OR eth
163,"RT @ReefrToken: #ReeferToken press release 2/17/2022 
KYC verified and Rolling Paper releases ahead of launch.
Public presale on at https:/…",bitcoin OR btc
164,It's a good project https://t.co/UoSuZUVt3D,bitcoin OR btc
165,"RT @metadunyam: ÇEKİLİŞ VAKTİ 🎉

1 kişiye 100$ #Solana 
1 kişiye 100$ #AVAX
1 kişiye 100$ #Tether   

✅ Tweeti RT+FAV 
✅ Beni Takip Et

 72…",bitcoin OR btc
166,"RT @LoveswapDEX: 💖25,000 FREE LOVESWAP TOKEN AIRDROP💖

Loveswap is a Multi-Blockchain DEX Network launching on Avalanche, Ethereum, BSC &amp; T…",ethereum OR eth
167,"@CryptoTraderPro 🦁#JBC! Massive Utility Project🦁

🐯#JBC Hub For Android,ios,web🐯

💥Partnership with world renown💥

🔥Bianca Beers🔥

💥Big prize giveaways💥

💯STAKING💯

🌟8% Referral Link🌟

⚡JBC is making a real impact⚡

✨#presale is available now ✨

 Join now https://t.co/FiUT0GqMoA",bitcoin OR btc
168,"RT @LukaEvans_: SHILL me the best project for this weekend! ⚡️
.
.
🔥 15 #BNB  to invest! 

#BTC  #Crypto  #ETH  #Bitcoin #NFT  #Metaverse…",bitcoin OR btc
169,"RT @AirdropStario: 💧 Space Launcher Airdrop 💧

🏆 Task:          ➕ 9,2 SPLR for 20,000 random participants

👨‍👩‍👧 Referral:   ➕ 80 SPLR for…",bitcoin OR btc
170,"@AirdropDet this project is very good and this projector has a lot of attractions, so hopefully the project will be better in the future and the cryptocurrency will be the best. 
@Sweety08524702 
@Nahin_ebna 
@mhsaimon77",bitcoin OR btc
171,"@TheCryptoLark Bluesparrow  the future of the world😍❤️🎉

 New lifestyle with bluesparrow🚀🔥

#ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowCommunity
#BestDrawToken
#Bluesparrowcharity
@BlueSparrowETH
#web3
#Bitcoin
@BluesparrowC
1 https://t.co/y56nYxiNAz",bitcoin OR btc
172,"Strong projects !!!!!!!!
Good Future.......
@shama6665abu @MahtabAnowar27 @monozh13
@mdmonir0194942 @MDAynal27 https://t.co/Dr9SbYbuDU",bitcoin OR btc
173,RT @Noor_O: #Bitcoin #Cardano #Stacks I love  them all !! but the #Proton community is something else #XPR 🦊🐵🦧💯,bitcoin OR btc
174,"RT @SelenaYasamin: @ShannonBrayNC @Whalesincoming #ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowCommunity
#BestDrawToken
#Bluesparrowchar…",bitcoin OR btc
175,"RT @Selena33385351: @ShannonBrayNC @Whalesincoming #ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowCommunity
#BestDrawToken
#Bluesparrowcha…",bitcoin OR btc
176,@coindehasii @Ralembaro  @yildizersoy1980 @ysfrsy1071 https://t.co/Th6ZoJQTcY,bitcoin OR btc
177,"RT @kriptozeryan: #Bitcoin 

Arkadaşlar analizlerim ve ön görülerim hakkında neler düşünüyorsunuz ?

Sizlerden ricam içinizden geçenleri ya…",ethereum OR eth
178,"@kylegriffin1 🚨 In 2022, advertisers had to pay an average of 6.5 million U.S. dollars to air a 30-second long commercial during the #SBLVI broadcast.

It will cost about $1000 to help this child not lose his right eye

😭Nothing is too small🙏
#NFT #Bitcoin  
https://t.co/Kup6cL22eC",bitcoin OR btc
179,@NFTfafafa @the_breadheads @ethereum_yyds @liang3472 @hongzhengyu2 @Maris7166,ethereum OR eth
180,@Bitcoin Because it's lot of money and we still don't have equality in money system,bitcoin OR btc
181,"RT @NFT_Moonshots: 🚨#NFTgiveaway🚨

😼@SolCats44 is giving away👇

🎁1 x @SolCats44 NFT😼

✅Tasks👇
1⃣Follow @SolCats44 &amp; @NFT_Moonshots
2⃣♥️ &amp; R…",ethereum OR eth
182,"It's a strong project, join it😍

@pariarezaei1 
@esmatsaeidi 
@JavadShafahi 
@FarasatAlireza 
@mobin2652 https://t.co/e4kcKWAbUE",bitcoin OR btc
183,"I believe this is a faithful project. The projector has a lot of attraction so hopefully the project will be better in the future... 😍🚀
@badshah_sujan 
@MstParvin10 
@natia_532

#Airdrop #Airdrops #Airdropinspector #BSC #Arcade #USDT #Crypto #Bitcoin https://t.co/AOsWHBz0V2",bitcoin OR btc
184,Still long on #Bitcoin today,bitcoin OR btc
185,"RT @NftDropsCal: #NFTArt 💫  Token Friends💲

🖼 Artwork by @masonlondon 👏
💰 Sold to king_farooq for 5.0 $ETH 🪙 ($15,384.50) ✨

🌐https://t.co/…",ethereum OR eth
186,@Crypto__Turkiye İşaret fişeği atılmıştır diyebilir miyiz?,bitcoin OR btc
187,"@spacelauncherio Great project 💙
I have participated in following the guidelines and rules of this airdrop, I  that many people will be lucky to get a prize from this airdrop.

@JayantriAcik @KenangAhmad @Bangglek_2 

#cryptocurrency #Airdrop #BSC #Bitcoin #SpaceLauncher #SPLR #Airdropstario",bitcoin OR btc
188,"RT @Coinimparator: Madem yüz güldüreceğiz daha doğru yapalım😊
Piyasanın kırmızı haline moral olması adına sadece bu twitimi beğenip + RT at…",bitcoin OR btc
189,RT @ChainSnake: register on #crypto.com and earn with me #cryptocurrency  #bitcoin #metaverse  #nft #polkadot #solana #ethereum #vechain #c…,ethereum OR eth
190,"RT @Blockworks_: In the last 6 months:

#Bitcoin: -8%
Salesforce: -18%
Netflix: -24%
Adobe: -28%
Rivian: -35%
Facebook: -40%
Shopify: -54%…",bitcoin OR btc
191,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
192,"@PancakeSwap NEAR Protocol Airdrop ( NEAR )
traded on all major exchanges
price per token ~10$
Airdrop 10 NEAR (~105$)
Link to Airdrop https://t.co/IbhE9GUA7f

#Airdrop #Bitcoin #exchange #Binance #NEARProtocol  #NEARnft #NEAR #token #Cryptocurrency",bitcoin OR btc
193,@cryptoBILLnfts https://t.co/yoHKRS60ss,ethereum OR eth
194,RT @MMCrypto: I have a friend who bought #ethereum at $0.50. He doesn’t even know that there are staking services where he can earn yield.…,ethereum OR eth
195,"RT @airdropinspect: New airdrop: Arcade (USDT)
Total Reward: 2,000 USDT
Rate: ⭐️⭐️⭐️⭐️⭐️
Winners: 700 Random &amp; Top 50
Distribution: within…",bitcoin OR btc
196,"@Crypto_Dep @nftbmarket @seascapenetwork @PolkaFantasy @faraland_io @jigstack @GetKalao @kattanatrade @Wonderhero_io @RocoFinance @DinoXWorld #NFTb $NFTb @nftbmarket @Binance
#Binance #Bitcoin #BTC @cz_binance @tommyso1111 @BinanceChain @TheBinanceNFT 
NFTb 👀🔥🚀 https://t.co/My8HwskCz6",bitcoin OR btc
197,"@LayahHeilpern @JesusCrypto33 @cvpayne @FoxBusiness 🍀LUCKY SHINU🍀
@lucky_shinu is a #raffle token on #ERC20 that brings you the chance to win awesome #prizes every week!

Are you the next #LuckyShinu ?

https://t.co/85t6LWVUtz

#ETH #altcoin #altcoinseason #x100gems #Crypto #Cryptocurrency $LUSHI #LUSHI #LUSHIARMY #LUCKYSHINU",bitcoin OR btc
198,"Action Taker‘s.
Are The Money Maker‘s.

#Bitcoin #Crypto #UAE",bitcoin OR btc
199,"RT @AirdropStario: 💧 Ignite Chain Airdrop 💧

🏆 Task:          ➕ Up to $3 worth of IGT

👨‍👩‍👧 Referral:   ➕ $0.5 worth of IGT

🔛 Airdrop Lin…",bitcoin OR btc
200,"RT @oatdQhT5WyOd9hg: @ShannonBrayNC @Terri_Bsparrow @Whalesincoming #ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowCommunity
#BestDrawToke…",bitcoin OR btc
201,@AnbroNFT 0xa7E9717f621C3Afe310E12A21CB77f7f3bE4d376,ethereum OR eth
202,https://t.co/W5ZteHEufL #dragonball #dragonballz #dragonballsuper #vegeta #goku #supersaiyan #manga #anime #japanese #sketch #Olympics2022 #OlympicGames #Olympic #SHIBARMY #btc #bitcoin 2022-02-18 12:38:21.609339,bitcoin OR btc
203,"RT @BitcoinNft_: 🚀 Bitcoin NFT (BTCNFT) Token Airdrop  

💰Reward : 20000000 $BTCNFT
👤Refar : Refer to get 4000000 For one reffer 

🔗Join ai…",bitcoin OR btc
204,"RT @AirdropStario: 💧 Starlight Airdrop 💧

🏆 Task:          ➕ 100 NEUM (~$10) for 5000 random participants each.

👨‍👩‍👧 Referral:   ➕  500 N…",bitcoin OR btc
205,"RT @Wowswap_io: ❤️WOWswap is now listed on @DefiLlama ❤️

🥸Track WOWswap Total Value Locked on 7 chains: #Ethereum 
#metis 
#iotex 
#BNBCha…",ethereum OR eth
206,"RT @irinatsukerman_: Thread: US Senators weaponized

First, @nayibbukele is perfectly within his right to criticize the group of meddling s…",bitcoin OR btc
207,"RT @BitcoinMorning: Buying #Bitcoin and HODLing it is a worldwide bank run.

#CanadaBankRun",bitcoin OR btc
208,@woman_is_art Тоесть вот так ты решила против системы пойти?)))😅,ethereum OR eth
209,"@EDaneshzad @steveaoki @a0k1verse @BlueSparrowETH @BluesparrowC always be in #bullish with bluesparrow
#ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowCommunity
#BestDrawToken
#Bluesparrowcharity
@BlueSparrowETH
#web3
#Bitcoin
@BluesparrowC",bitcoin OR btc
210,"@Ralvero Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of privacy and security, Touch the web3 with #bluesparrow
#ETH
#BlueSparrow
#BlueSparrowtoken
#bitcoin
@BlueSparrowETH🔥🔥🔥 https://t.co/Vz9xjjN0Xi",bitcoin OR btc
211,@Wairaiuiai @LEYANTISECTAS Un ladri .,bitcoin OR btc
212,"RT @robertpromoter: 💎#NFTGiveaway💎

🎁Prize: 1X Viking Axe #NFT

Must:
1️⃣Follow Me &amp; @oguzcankaya12
2️⃣Like❤️ &amp; RT🔁

#NFTs #NFTCommmunity #…",ethereum OR eth
213,@Lord_Brise @bitgertbrise The man has spoken. #Brise #Bitgert will boom. #BriseChain,ethereum OR eth
214,RT @BigCheds: $BTC #Bitcoin 1H pressing range lows and critical 40k area support https://t.co/SoXDB800To,bitcoin OR btc
215,"@WatcherGuru NFT Pre-sale
Only 1500 NFT assets will be available for sale. NFT assets are sold as a package - 0.12 BNB per package ( Suit, Pant, and Shoe) + Hat for FREE. 
Date/Time of sales - TBA

TG: https://t.co/SpRURroTEb

#DECENTCoin #DECENTDatabase $DECENT https://t.co/A5YmS70cxt",bitcoin OR btc
216,@kaiobtc @Olifotet Eu que sou pobre não superei.... imagina ele.,bitcoin OR btc
217,"RT @Blockworks_: In the last 6 months:

#Bitcoin: -8%
Salesforce: -18%
Netflix: -24%
Adobe: -28%
Rivian: -35%
Facebook: -40%
Shopify: -54%…",bitcoin OR btc
218,"RT @BitcoinFear: Bitcoin Fear and Greed Index is 30 ~ Fear
Current price: $40,181 https://t.co/xAMg0ZRtfe",bitcoin OR btc
219,"RT @CoinPaymentsNET: #Bitcoin and #crypto are better than fiat.

And no, not just because they have better memes…

Few.",bitcoin OR btc
220,"I have participated, thanks for opportunity. The projector has a lot of attractions so hopefully the project will be better in the future and will be the best.
@Tesla
@BCCI
@ICC
@Naija_PR
#binancestopscamming #NFTCommunity https://t.co/ymJoMPTLPs",bitcoin OR btc
221,"Buying #Bitcoin is quick and easy with CoinSmart - The world's most accessible #crypto exchange. Designed for beginners, built for experts. Instant verification, 24/7 support, fully registered, safe and secure. https://t.co/0n7WDcCUhG",bitcoin OR btc
222,"@EDaneshzad @steveaoki @a0k1verse @BlueSparrowETH @BluesparrowC always be in #bullish with bluesparrow
#ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowCommunity
#BestDrawToken
#Bluesparrowcharity
@BlueSparrowETH
#web3
#Bitcoin
@BluesparrowC https://t.co/EmldgoNDnX",bitcoin OR btc
223,"RT @metarabbitclub: ⚡ BTS와 콜라보한 DJ 스티브 아오키 (@steveaoki) 님이 메타 래빗 홀더로 함께합니다!⚡

V2 in Ethereum:
💎3/16: WL Only (611 Rabbits)
💎3/19: Presale (…",ethereum OR eth
224,"RT @DancingDeerNFT: 🎁MEGA #NFT &amp; BUSD #Giveaway🎁

🎁1x 20 $BUSD🤑

1x @ZomNFT🧟‍♂️
1x @SolCats44🐱
1x @SolanaBulldogs🐕
1x @TFFranchise🐶
1x @The…",ethereum OR eth
225,"@CryptoSavingExp We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC ($4,000) and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM",bitcoin OR btc
226,@Bitcoin_org_ @VigilantFox Ha ha.,bitcoin OR btc
227,RT @BitcoinMagazine: NEW 💥 BIPARTISAN Illinois bill to offer $160 MILLION in tax breaks to #Bitcoin miners 👏 https://t.co/MuwgHOeNHK,bitcoin OR btc
228,"RT @AirdropStario: 💧 Space Launcher Airdrop 💧

🏆 Task:          ➕ 9,2 SPLR for 20,000 random participants

👨‍👩‍👧 Referral:   ➕ 80 SPLR for…",bitcoin OR btc
229,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
230,"RT @babydoge_turkey: 🎯 @babydoge_turkey  💰 🚀 
            🌕
       🚀
   💥
 💥
🌍
BUY AND HODL ❗

#BabyDoge #BabyDogeCoin #dogecoin #Binance #…",bitcoin OR btc
231,"Fazladan 1 takipçi , 1 rt , 1 beğeni için milletin sırtına yapışmış maymunluk yapan finoların suçu büyük. İstisnasız bütün analiz ve tahminciler sürekli yanılmaktalar. Dikkatli olun ! Fikir alın ama hiçbirine güvenmeyin ! https://t.co/wf9XLVTZ7Y",bitcoin OR btc
232,"RT @BitcoinMagazine: 💥 Minister of Finance of the Russian Federation: #Bitcoin is a ""real tool, a real asset for millions."" 🙌 https://t.co/…",bitcoin OR btc
233,"Bitcoin miners revived a dying fossil fuel plant – then CO2 emissions soared https://t.co/2IUhJ34uXP Stop sucking up all the energy, you inconsiderate lazy people.",bitcoin OR btc
234,"RT @moonforcetoken: JOIN MOONFORCE PUBLIC PRESALE!
TODAY AT 6PM EST (11 PM UTC)

BE A PART OF HISTORY. EARN TOKEN &amp; BNB REWARDS FROM THE FU…",ethereum OR eth
235,"RT @BitcoinFear: Bitcoin Fear and Greed Index is 30 ~ Fear
Current price: $40,181 https://t.co/xAMg0ZRtfe",bitcoin OR btc
236,RT @TimmerFidelity: So what’s next for Bitcoin’s demand curve? Below are two possible measures based on historical S-curves: mobile phone s…,bitcoin OR btc
237,"RT @DeItaone: FIDELITY INTERNATIONAL LAUNCHES PHYSICAL BITCOIN EXCHANGE TRADED PRODUCT

FIDELITY- ETP WILL BE LISTED ON DEUTSCHE BÖRSE XETR…",bitcoin OR btc
238,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
239,"Trending on #LunarCrush:

""Buffett’s Shocking Bitcoin Bet Supports $1M Bitcoin Price Prediction—Meanwhile, BNB, Solana, Cardano"" via @Forbes

Top coin mentions
$btc $cate

https://t.co/JbJ5a9up26",bitcoin OR btc
240,"@NftGymnasium_ Regular pregnancy lasts 40 weeks. Approximately 40 weeks left before release of James Cameron's long awaited sequel ""Avatar 2"". https://t.co/CtXM2Nge5T  #NFTCommunity #NFTartist  #NFTdrops #NFTcollections #NFTs #nftpainters #NFTProject #nftcolllectors",ethereum OR eth
241,"RT @idealistkripto: #bitcoin #btc 

Yükselen trend dün geceki kapanışta 
Maalesef aşağı kırıldı
Tekrar 41500 üstünde kapanışlar alamazsak a…",bitcoin OR btc
242,RT @bernard_mikhail: Bitcoin returning to January highs - #BTCUSD TradingView https://t.co/TTqJN0xROq,bitcoin OR btc
243,"RT @airdropinspect: New airdrop: Arcade (USDT)
Total Reward: 2,000 USDT
Rate: ⭐️⭐️⭐️⭐️⭐️
Winners: 700 Random &amp; Top 50
Distribution: within…",bitcoin OR btc
244,"@sebinternet86 @HuobiGlobal @elonmusk @BabyDogeCoin 🔥🔥Dont miss this trending Health x METAVERSE Project‼️
✅Audited and Kyc verified.
✅Cmc and CG listed.
⏩Buy on pancakeswap with the contract: 0x1a8B6E637aAB57c8544DC90BD813c62fAA68AA1C
Telegram group: @healthland_HTF

 #Healthify #HealthLand #Metaverse #elonmusk #Binance",bitcoin OR btc
245,"@NFTfafafa @the_breadheads @ethereum_yyds 发哥！！！
@cz_binance 
@hao996883 
@qq20201228",ethereum OR eth
246,"RT @Loveelon3: @MajesticDrama @binance bluesparrow Only one bird loves flying😍🌹

 Let's fly together💵💴💸💸💸💸
#ETH
#BlueSparrow
#BlueSparrowto…",bitcoin OR btc
247,RT @MarieMisfit: $SOUL @wildcardp2e can't wait to play #wildcardgame !! Believe you can and you’re halfway there. #bitcoin Find out more on…,bitcoin OR btc
248,@asyagro @ccg @cjggt @LFJ,bitcoin OR btc
249,@Lord_Brise @bitgertbrise #bitgert,ethereum OR eth
250,"RT @TheDaoMaker: SHO - @XANAMetaverse

XANA is an Ethereum sidechain custom-built for the Metaverse. 

Major Adoptions👇

- Tokyo Olympic ko…",ethereum OR eth
251,RT @BankersArmy22: Cryptopunks #5822 is now the most expensive #cryptopunks after being sold for $24M according to the news by https://t.co…,bitcoin OR btc
252,"@ChartChampions 💰Appreciate my new find - $ABZ from @astro_birdz. NFT system token &amp; P2E game, similar to AXS. Only imho there will be much more powerful growth here! Check it out - https://t.co/0N7R7RgqWp",bitcoin OR btc
253,"RT @LoveswapDEX: 💖100,000 Loveswap DEX Tokens Airdrop💖

Instructions:

✅Follow: @LoveswapDEX
✅Retweet &amp; Tag 2 Friends
✅Free Claim via https…",ethereum OR eth
254,"@AirdropStario Strong projects !!!!!!!!
Good Future.......
@shama6665abu @MahtabAnowar27 @monozh13
@mdmonir0194942 @MDAynal27",bitcoin OR btc
255,"RT @moonforcetoken: JOIN MOONFORCE PUBLIC PRESALE!
TODAY AT 6PM EST (11 PM UTC)

BE A PART OF HISTORY. EARN TOKEN &amp; BNB REWARDS FROM THE FU…",ethereum OR eth
256,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
257,"RT @KriptoData: “Fed bilançosunda #Bitcoin tutmalı.”

— Cynthia Lummis | ABD Senatörü https://t.co/mXSfyNejux",bitcoin OR btc
258,"Check out my new NFT on OpenSea! https://t.co/6e3FBgLyCB via @opensea Follow @bawion1 
#nfts #nft #digitalart #art #cryptoart #nftcollection #raredigitalart #ethereum #artoftheday #cryptoartist #blockchain #contemporaryart #nftartist #animation #modernart #abstractart #nftart",ethereum OR eth
259,@Mesawine1 Sweet TA! Same here.,bitcoin OR btc
260,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
261,#cryptocurrency #Airdrop #BSC #Bitcoin #USTD #ShibaFame #Airdropstario @bayr112 @rifkiardp @tobayardp https://t.co/o1aDUvVxAW,bitcoin OR btc
262,‘The Potential Risks Far Outweigh the Benefits’ – Emerging Markets Bitcoin News https://t.co/ylhOzzekFY,bitcoin OR btc
263,"@TheCryptoLark Bluesparrow  the future of the world😍❤️🎉

 New lifestyle with bluesparrow🚀🔥

#ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowCommunity
#BestDrawToken
#Bluesparrowcharity
@BlueSparrowETH
#web3
#Bitcoin
@BluesparrowC
2 https://t.co/N4H5FqCsOr",bitcoin OR btc
264,"RT @CakirbeyNusret: Sabah Uyandığında ilk işi Piyasaya bakmak olan  ☀️👀

Finansal Özgürlüğü İçin Burda Olan Herkese Günaydın 🍀

#Bitcoin",bitcoin OR btc
265,"RT @NobodyCaribou: Mission accomplished

Epic P2P bitcoin wallet airdrop

Team of two, distributed to 90 (ish) truckers over 24 hours

14.6…",bitcoin OR btc
266,"RT @cryptomktbrasil: 🇧🇷 Hoje, sexta-feira, 18 de fevereiro #Ethereum #eth é a #criptomoeda com a maior variação no #Brasil, dentro das últi…",ethereum OR eth
267,"Breaking ⚠️
#cryptoshoutz #Ukraine #Bitcoin https://t.co/itXMwKdiZe",bitcoin OR btc
268,"Yes, #Bitcoin consumes a huge amount of electricity. But we must look at both its energy sources and its overall vision in order to fully understand the situation. $BTC https://t.co/CLP2lwdh8j",bitcoin OR btc
269,@MrktMeditations Thanks so much fooooorrrr this gift @MATlC_B0NUS,bitcoin OR btc
270,@BitcoinMagazine @GovPritzker @TheBlock__ https://t.co/wWi28kZg4F,bitcoin OR btc
271,"RT @aminballloch: A pair of socks ... Do you remember? From the movie Dancer with Wolves, it comes to help us feel calm and safe.
@SpyWolfN…",ethereum OR eth
272,"Good project tanx 🥰
@MyNeighborAlice @maciejmilkowski @MJ @ChandraRojon @Sar https://t.co/vYVqcpDM7K",bitcoin OR btc
273,"RT @Ali1989sirik5: @spy_wolf2020 @binance @SpyWolfNetwork Make money! Prosecute scammers! All at the same time.
 
Make passive income in BN…",ethereum OR eth
274,"Not your wallet, not your Bitcoin https://t.co/VyLOchntKg",bitcoin OR btc
275,RT @mercifulcrypto: Saitanobi DEV Jeremy locked the 12% wallet (for 30 days) and proved him self in the live chat. Thus the redflags have b…,ethereum OR eth
276,@Kharmilol @DooggiesNFT Amazing 🤩,ethereum OR eth
277,"RT @KriptoMelo: 🔔 2 kişiye 250 #TL 🔔

✅ Şartlar:

- Takip et.

- Bu gönderiye RT+FAV

Süre 48 saat.

#trx #rvn #doge #shiba #shinja #hamste…",bitcoin OR btc
278,"I did a little research and collected interesting statistics on crypto casinos in infographics.
Special thanks to @CasinoGuruTweet for the largest online casino database
https://t.co/PwvvRegoo0

#bitcoin #Infographic #gambling #bitcoincasino",bitcoin OR btc
279,RT @AutomationView: Exploring the Benefits of Bitcoin Up https://t.co/jKCi1Ddag4 #automation https://t.co/pMb0zGvYWj,bitcoin OR btc
280,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
281,"RT @AirdropStario: 💧 Space Launcher Airdrop 💧

🏆 Task:          ➕ 9,2 SPLR for 20,000 random participants

👨‍👩‍👧 Referral:   ➕ 80 SPLR for…",bitcoin OR btc
282,"@BluesparrowC @gate_io @BlueSparrowETH You say you’re willing to gain wealth
but you know nothing about #bluesparrow
but you know, now
#bluesparrow  🚀🔥
#Charity
#bitcoin
#KYC
#Renounce
@BlueSparrowETH  💯
Ký6ff https://t.co/xlYKlJOTJB",bitcoin OR btc
283,"@AltcoinGordon LOL Fuck dude, she's a bit heavy!",bitcoin OR btc
284,"RT @airdropinspect: New airdrop: Arcade (USDT)
Total Reward: 2,000 USDT
Rate: ⭐️⭐️⭐️⭐️⭐️
Winners: 700 Random &amp; Top 50
Distribution: within…",bitcoin OR btc
285,"#Bitcoin 
Elips ile belirtilen nokta önemli.

BTC yükselen dip eşiğini kırmış bulunmakta.

Grafiğin tekrar pozitife dönmesi için 4 saatlikte 41.900$ seviyesine erişmesi gerekmekte.

Aksi senaryo için stopları hazırda bulundurmakta fayda var

En az 2 kez düşünmeden marjin girmeyin https://t.co/twV1EsLNKx",bitcoin OR btc
286,"@mishalederman @JesusCrypto33 @360_trader 🍀LUCKY SHINU🍀
@lucky_shinu is a #raffle token on #ERC20 that brings you the chance to win awesome #prizes every week!

Are you the next #LuckyShinu ?

https://t.co/85t6LWVUtz

#ETH #altcoin #altcoinseason #x100gems #Crypto #Cryptocurrency $LUSHI #LUSHI #LUSHIARMY #LUCKYSHINU",bitcoin OR btc
287,RT @RaimonRed311: @BluesparrowC @gate_io @BlueSparrowETH The nature of birds is free flight.  Let's fly to the sky with them ... Be a bird…,bitcoin OR btc
288,"@BitcoinMagazine The @XcelDefi is the next-generation decentralized finance token based on @BinanceChain which includes major benefits.
✅Reliable
✅Tamper-Proof-Network Deflationary
✅Transparent Accounting 
Hurry up, grab it before it starts to boom.
#xceldefi #XLD #XLD_Army 
#nftasfeb18",bitcoin OR btc
289,"@gokhshteinmedia A great leader would cancel the central bank and tell all the citizens and corporations to stack as much #Bitcoin  It would be the strongest nation on earth

 All thanks to @rawkz_t  for making my bitcoin dream come through! I have added massively to my holdings",bitcoin OR btc
290,@ToSloths He's pretty cute ☺️,ethereum OR eth
291,@metadunyam 🙏,bitcoin OR btc
292,"RT @BluesparrowC: @gate_io bluesparrow, with a unique CEX,  Web3.0, NFT, draw, and charity, can shake the world of cryptocurrency.
Gate .io…",bitcoin OR btc
293,"I am not worried, Harry. https://t.co/xy3unfECV5",ethereum OR eth
294,"@TarperNFTS @yorushinigami @Omi_shirole @RuturajKumbha17 @rinkeshj22 @RuturajKumbha17 @RavindraKoleka6 @anikethande101 

#ETH 
0x3d44f0E2e2E4Fef2B7EDAfa4753c4aabF3afC61a",ethereum OR eth
295,#Bitcoin,bitcoin OR btc
296,"@BluesparrowC @gate_io @BladesCrypto Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of privacy and security, Touch the web3 with #bluesparrow
#better_future
#ETH
#BlueSparrow
#BlueSparrowtoken
#bitcoin
#BestbitcoinToken
@BluesparrowC
@BlueSparrowETH q https://t.co/iVXEwIJXs9",bitcoin OR btc
297,RT @BluesparrowC: @gate_io @avalancheavax @BenqiFinance The future of cryptocurrency belongs to those tokens who believe in the power of th…,bitcoin OR btc
298,"#Bitcoin and Crypto fixes this!! 

@TheNamibian l #CryptocurrencyNews 
#DeFi #fintech https://t.co/atvciBrBN3",bitcoin OR btc
299,"@pastorcoin We don't  buy bitcoin
We earn bitcoin From Mining 
I'm ready to show 10 lucky people how to earn 0.1BTC ($4,000) and more daily!
No referral 
No withdrawal fees
If interested, kindly send a DM",bitcoin OR btc
300,"RT @Ali1989sirik5: @spy_wolf2020 @CryptoGemsCom @SpyWolfNetwork Make money! Prosecute scammers! All at the same time.
 
Make passive income…",ethereum OR eth
301,"RT @CyrptoGizem: Hızlı Çekiliş! 🎉

İki kişiye 300₺ 💸

Takip et -
@kurdu_bitcoin &amp; @KriptoMelo

RT🔄 &amp; FAV🤍 

Akşam 21:00 da açıklarım.☑️
#Bi…",bitcoin OR btc
302,"RT @AirdropStario: 💧 Space Launcher Airdrop 💧

🏆 Task:          ➕ 9,2 SPLR for 20,000 random participants

👨‍👩‍👧 Referral:   ➕ 80 SPLR for…",bitcoin OR btc
303,"@Ralvero Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of privacy and security, Touch the web3 with #bluesparrow
#ETH
#BlueSparrow
#BlueSparrowtoken
#bitcoin
@BlueSparrowETH🔥🔥💥 https://t.co/KfQIqKDdas",bitcoin OR btc
